hshift,wshift,corr
-50,-50,0.0035545679036012453
-50,-49,-0.020587785461393875
-50,-48,-0.01793544126829007
-50,-47,-0.044449240319647636
-50,-46,-0.050900412867092286
-50,-45,-0.03816091530858668
-50,-44,-0.042924228588781414
-50,-43,-0.022783509321214392
-50,-42,-0.028540859226684694
-50,-41,-0.03314915627479892
-50,-40,-0.026521849347260623
-50,-39,-0.024542750900041262
-50,-38,-0.004892956232324677
-50,-37,0.019766135524364646
-50,-36,0.0038404283606494616
-50,-35,0.009629281398844352
-50,-34,0.0156592465072023
-50,-33,0.023827496154957547
-50,-32,0.027325635423781237
-50,-31,0.01990859974874212
-50,-30,0.018747814013183053
-50,-29,0.00485985368730488
-50,-28,-0.0036083419947563603
-50,-27,-0.01137417026080482
-50,-26,0.001746572855217955
-50,-25,-0.008827031583919592
-50,-24,0.005902041659851888
-50,-23,-0.013491485841900722
-50,-22,-0.03490940252581309
-50,-21,-0.04426108790175454
-50,-20,-0.025765207742831163
-50,-19,-0.012536183820468812
-50,-18,0.0006696477428248737
-50,-17,-0.010698501964884062
-50,-16,-0.021218820205128382
-50,-15,-0.011307913232569432
-50,-14,-0.004670798663796671
-50,-13,0.004337702655167074
-50,-12,-0.0006037428971118814
-50,-11,0.001568094574647296
-50,-10,0.006723158512965959
-50,-9,-0.0012133097427649037
-50,-8,-0.0004167661073887734
-50,-7,0.011845878686590615
-50,-6,0.018603130442101618
-50,-5,0.031495839321194874
-50,-4,0.01952091946119809
-50,-3,0.01579652130819377
-50,-2,0.021851865011708847
-50,-1,0.00920171045404589
-50,0,0.009445531276326753
-50,1,0.002448378890584763
-50,2,-0.025859350648132533
-50,3,-0.02309323032784567
-50,4,-0.02196705392008933
-50,5,0.0017740091132813303
-50,6,-0.012238248798249727
-50,7,-0.002574080013772518
-50,8,0.009537286927968961
-50,9,0.0038963612919272563
-50,10,0.012931086480763965
-50,11,0.01563878507969268
-50,12,-0.00478795380915016
-50,13,-0.010701233472897162
-50,14,-0.022792802160708028
-50,15,-0.0074825407228119225
-50,16,-0.0032136647262688933
-50,17,-0.017458280303375543
-50,18,-0.018483468987824537
-50,19,-0.016475103291316757
-50,20,-0.0010452225231102348
-50,21,0.002276678957055115
-50,22,0.015674768629713294
-50,23,0.018469927242233928
-50,24,0.013964885973300716
-50,25,0.019303303909484985
-50,26,0.02115640183031597
-50,27,0.01759278753617077
-50,28,0.01572310481568741
-50,29,-6.480361776513223e-05
-50,30,-0.007117345258250852
-50,31,-0.015410982468184536
-50,32,-0.0072146592009814554
-50,33,-0.012367421558064882
-50,34,-0.02011972708073678
-50,35,-0.0052621579010898
-50,36,0.0014979901947780507
-50,37,0.01116611856807939
-50,38,-0.009442456277102008
-50,39,-0.010633433352648347
-50,40,-0.017461669202285465
-50,41,-0.023355935817523526
-50,42,-0.002665943605679915
-50,43,-0.015227197750961244
-50,44,-0.027600873098497687
-50,45,-0.02941911187367031
-50,46,-0.017393752996457176
-50,47,-0.015370448734098097
-50,48,0.016271336934319643
-50,49,0.03407671512426689
-50,50,0.02817653645244117
-49,-50,-0.008073112949911697
-49,-49,-0.04667731880600058
-49,-48,-0.034909616635895875
-49,-47,-0.045640969196883645
-49,-46,-0.03422162685981914
-49,-45,-0.04252666149302387
-49,-44,-0.02632374179526315
-49,-43,-0.027139146100015075
-49,-42,-0.03275486065215283
-49,-41,-0.029396248135496197
-49,-40,-0.018749593877137646
-49,-39,-0.0210540497805297
-49,-38,-0.010451925416290968
-49,-37,0.014623891815988449
-49,-36,0.003501047893262104
-49,-35,0.010227015983480393
-49,-34,0.026284592421018084
-49,-33,0.03376536603253863
-49,-32,0.021663418529219377
-49,-31,0.027839403275217146
-49,-30,0.03589560505901534
-49,-29,0.006135685859826365
-49,-28,-0.012944798621869516
-49,-27,-0.015317095445086979
-49,-26,0.003335643954380233
-49,-25,-0.011397665072158497
-49,-24,-0.010209213992970218
-49,-23,-0.029825820112894624
-49,-22,-0.04460812605350257
-49,-21,-0.030719396479862573
-49,-20,-0.029513066725421984
-49,-19,-0.016606105848393088
-49,-18,0.0024072137671901895
-49,-17,-0.00641325781450815
-49,-16,-0.006813794970596631
-49,-15,0.0033017269792972957
-49,-14,0.0024890424006445157
-49,-13,-0.0010604245765022168
-49,-12,0.019745881732448636
-49,-11,-0.0026385464868799073
-49,-10,6.890684375107551e-05
-49,-9,0.006316715151563936
-49,-8,0.0043304549494423295
-49,-7,0.024744366735884937
-49,-6,0.0333150803254887
-49,-5,0.026202208167626615
-49,-4,0.015851800491985448
-49,-3,0.033036983167120455
-49,-2,0.012766482536886115
-49,-1,0.02352211704053211
-49,0,0.009728895864012009
-49,1,-0.005348632095128981
-49,2,-0.030904836356387674
-49,3,-0.02637393609235356
-49,4,-0.02178648808890828
-49,5,-0.011474126592187894
-49,6,-0.00867071928936274
-49,7,-0.0033845678470284675
-49,8,-0.0021569850057932983
-49,9,-0.010557426513213439
-49,10,0.0025448819867605822
-49,11,0.019837291621916556
-49,12,0.01596468561093511
-49,13,-0.00383761574876201
-49,14,-0.017851863124467574
-49,15,-0.01569438659835005
-49,16,-0.013974640374201661
-49,17,-0.008594512831561874
-49,18,-0.006195408284889331
-49,19,0.00791212191113401
-49,20,-0.00532078962682906
-49,21,0.01203268100346263
-49,22,0.018983847971271887
-49,23,0.02691528610649633
-49,24,0.01447369108319722
-49,25,0.008893618763760278
-49,26,0.017610132834770264
-49,27,0.0038095616194052597
-49,28,0.01088101060580896
-49,29,-0.003820763085570848
-49,30,-0.014884744412387385
-49,31,-0.008485715460654433
-49,32,-0.013618762578947143
-49,33,-0.021367525962749403
-49,34,-0.011859800500116412
-49,35,0.0008942477487233046
-49,36,0.011625831375012396
-49,37,0.008823155326507367
-49,38,-0.0008752316960879589
-49,39,-0.0120203369936062
-49,40,-0.025975563851167047
-49,41,-0.003860576005146041
-49,42,0.00423293429638419
-49,43,-0.0184843003168851
-49,44,-0.02414247145885928
-49,45,-0.03188123429932837
